"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 31 23:45:27 UTC 2026","Tue Mar 31 23:47:14 UTC 2026","107362","tests.ios","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_2_0_update_bio","
    Test Case: NAF-37, NAF-39
    As a registered user I can view and update my bio
    Scenario: Update Bio
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter bio content
    5. Click on ""Save"" button
    6. Verify bio content is updated
    
    Expected Result: Bio content is updated
    "
"broken","Tue Mar 31 21:55:57 UTC 2026","Tue Mar 31 21:56:13 UTC 2026","15762","tests.android","test_2_Authentication","TestAuthentication","","","test_NAF_2_2_0_login_with_wrong_email","
    Test Case: NAF-15
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Non-existent Email
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter non-existent email: test@example.com
    5. Enter password: testpassword
    6. Click ""Log in"" button    
    7. Verify error message appears
    
    Expected Result: Error message ""There is no account associated with this email. Please sign up."" should be displayed
    "
"passed","Tue Mar 31 22:13:10 UTC 2026","Tue Mar 31 22:13:33 UTC 2026","23010","tests","test_11_CMS_Notifications","","","","test_CMS_11_12_0_Close_Comments_View","
Test Case 212: Verify ability to close comments view.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Close the comments view using Escape key
8. Verify comments view is closed successfully
"
"passed","Tue Mar 31 21:58:21 UTC 2026","Tue Mar 31 21:58:47 UTC 2026","26368","tests","test_8_CMS_Video_Management","","","","test_NAF_8_8_0_Update_Video_Details","
Test that an admin user can select a video and update its details.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Select the uploaded video
6. Update video details
7. Verify changes are saved successfully
"
"broken","Tue Mar 31 22:45:36 UTC 2026","Tue Mar 31 22:47:29 UTC 2026","112444","tests.android","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_4_0_modify_mobile","
    Test Case: NAF-60
    As a registered user I can view and update my profile settings
    Scenario: Modify Mobile
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter mobile number
    5. Click on ""Save"" button   
    "
"failed","Tue Mar 31 21:56:49 UTC 2026","Tue Mar 31 21:57:09 UTC 2026","20104","tests","test_8_CMS_Video_Management","","","","test_NAF_8_2_0_Videos_Uploaded_Sorted_By_Creation_Date","
Verify videos are sorted by creation date in descending order

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Verify all video columns are sorted by creation date in descending order
"
"broken","Tue Mar 31 23:58:07 UTC 2026","Tue Mar 31 23:59:59 UTC 2026","112449","tests.ios","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_4_0_modify_mobile","
    Test Case: NAF-60
    As a registered user I can view and update my profile settings
    Scenario: Modify Mobile
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter mobile number
    5. Click on ""Save"" button   
    "
"passed","Tue Mar 31 21:57:36 UTC 2026","Tue Mar 31 21:57:56 UTC 2026","19989","tests","test_8_CMS_Video_Management","","","","test_NAF_8_3_0_Search_Videos_Invalid_Keyword","
Test that an admin user can search videos by video title.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Search for the uploaded video by invalid keyword
6. Verify search results display no videos
"
"broken","Wed Apr 01 00:15:09 UTC 2026","Wed Apr 01 00:15:09 UTC 2026","0","tests.ios","test_14_Community","TestCommunityManagement","","","test_NAF_14_2_0_verify_viewing_comments_on_post","
    Test Case: NAF-269
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify viewing comments on a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Click on a comment button for any post
    4. Verify comment section opens
    5. Add a comment
    6. Verify comment is posted successfully
    
    Expected Result: User should be able to view and add comments to posts
    "
"broken","Tue Mar 31 22:32:56 UTC 2026","Tue Mar 31 22:34:44 UTC 2026","107346","tests.android","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_2_0_update_bio","
    Test Case: NAF-37, NAF-39
    As a registered user I can view and update my bio
    Scenario: Update Bio
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter bio content
    5. Click on ""Save"" button
    6. Verify bio content is updated
    
    Expected Result: Bio content is updated
    "
"passed","Tue Mar 31 21:57:56 UTC 2026","Tue Mar 31 21:58:21 UTC 2026","25049","tests","test_8_CMS_Video_Management","","","","test_NAF_8_7_0_Upload_Video_With_Unpublished_Status","
Test that an admin user can upload a new video to the platform with unpublished status.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Verify video is uploaded with unpublished status
6. Verify video appears in the videos list
"
"passed","Tue Mar 31 21:53:03 UTC 2026","Tue Mar 31 21:53:25 UTC 2026","22386","tests","test_7_CMS_Authentication","","","","test_NAF_7_3_0_Logout_of_AdminPanel","
Test that a user with admin role can successfully log out from the CMS.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the logout button
7. Verify that the user is logged out
"
"passed","Tue Mar 31 22:06:38 UTC 2026","Tue Mar 31 22:07:19 UTC 2026","41285","tests","test_9_Programs_Management","","","","test_NAF_9_9_0_Popular_Nutrition_One_Tag_Selected","
Verify user can only choose one tag

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Verify Popular or Nutrition tag is not selected by default
6. Toggle Popular or Nutrition tag
7. Verify tag is selected
8. Toggle Popular or Nutrition tag
9. Verify tag is not selected
6. Verify program is successfully deleted
"
"broken","Tue Mar 31 22:16:41 UTC 2026","Tue Mar 31 22:18:27 UTC 2026","105865","tests.android","test_2_Authentication","TestAuthentication","","","test_NAF_2_5_0_logout_and_relogin","
    Test Case: NAF-20
    As a user, I want to log out and log back in
    Scenario: Logout and Relogin
    
    Steps:
    1. Open the app
    2. Go to ""My Profile"" button
    3. Click on ""Log out"" button
    4. Verify successful logout
    5. Click on ""Log in"" button
    6. Verify successful login
    "
"skipped","Tue Mar 31 23:47:15 UTC 2026","Tue Mar 31 23:47:15 UTC 2026","0","tests.ios","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_3_0_edit_profile_picture","
    Test Case: NAF-40
    As a registered user I can view and update profile image
    Scenario: Edit Profile Picture
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Click on ""Take a picture"" button (might not stable on simulator)
    5. Select a photo from the device
    
    Note: This test is skipped because camera functionality is not supported in the current simulator
    "
"passed","Tue Mar 31 22:04:34 UTC 2026","Tue Mar 31 22:05:14 UTC 2026","39956","tests","test_9_Programs_Management","","","","test_NAF_9_6_0_Delete_Program","
Test that an admin user can delete program using the 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Delete the program using 3 dots menu
6. Verify program is successfully deleted
"
"broken","Tue Mar 31 23:00:38 UTC 2026","Tue Mar 31 23:00:38 UTC 2026","0","tests.android","test_14_Community","TestCommunityManagement","","","test_NAF_14_2_0_create_text_only_post","
    Test Case: NAF-266
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify creating a text-only post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Click ""NEW POST"" button
    4. Enter text content
    5. Click ""Post"" button
    6. Verify post is created successfully
    
    Expected Result: Text-only post should be created and visible in the community feed
    "
"broken","Tue Mar 31 23:51:43 UTC 2026","Tue Mar 31 23:53:34 UTC 2026","110341","tests.ios","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_4_0_modify_name","
    Test Case: NAF-55
    As a registered user I can view and update my profile settings
    Scenario: Modify Name
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter name
    5. Click on ""Save"" button
    "
"passed","Tue Mar 31 22:05:14 UTC 2026","Tue Mar 31 22:05:57 UTC 2026","42615","tests","test_9_Programs_Management","","","","test_NAF_9_8_0_Edit_Program","
Test that an admin user can create and edit programs.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Wait for page to load after program creation
6. Edit the created program
7. Verify changes are saved successfully
"
"passed","Tue Mar 31 21:54:03 UTC 2026","Tue Mar 31 21:54:24 UTC 2026","20608","tests","test_7_CMS_Authentication","","","","test_NAF_7_6_0_Edit_User_Role","
Test that a user with admin role has access to the whole list of mobile users, 
where admins are identified by ""admin"" role.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Edit user role
7. Verify that the user role is updated
"
"passed","Tue Mar 31 22:11:25 UTC 2026","Tue Mar 31 22:11:59 UTC 2026","33455","tests","test_11_CMS_Notifications","","","","test_CMS_11_9_0_Access_Comment_From_Notification","
Test Case 209: Verify ability to access comment from notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Verify user is redirected to Comments view
8. Verify comment view access is successful
"
"broken","Tue Mar 31 23:08:28 UTC 2026","Tue Mar 31 23:08:44 UTC 2026","16062","tests.ios","test_2_Authentication","TestAuthentication","","","test_NAF_2_2_0_login_with_wrong_email","
    Test Case: NAF-15
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Non-existent Email
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter non-existent email: test@example.com
    5. Enter password: testpassword
    6. Click ""Log in"" button    
    7. Verify error message appears
    
    Expected Result: Error message ""There is no account associated with this email. Please sign up."" should be displayed
    "
"broken","Tue Mar 31 23:12:04 UTC 2026","Tue Mar 31 23:12:24 UTC 2026","20077","tests.ios","test_2_Authentication","TestAuthentication","","","test_NAF_2_2_0_login_with_wrong_password","
    Test Case: NAF-14
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Incorrect Password
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter valid email: qingqin@topflightapps.com
    5. Enter incorrect password: Aa1234567
    6. Click ""Log in"" button
    7. Verify error message appears
    
    Expected Result: Error message ""The password you entered is incorrect"" should be displayed
    "
"broken","Tue Mar 31 23:03:04 UTC 2026","Tue Mar 31 23:03:04 UTC 2026","0","tests.android","test_14_Community","TestCommunityManagement","","","test_NAF_14_4_0_verify_liking_post","
    Test Case: NAF-271
    As a user, I want to interact with post: ""Like"" post, leave comments
    Scenario: Verify liking a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Find the first like button
    4. Record current like count
    5. Click like button
    6. Verify like count changes as expected
    
    Expected Result: User should be able to like posts and see like count change
    "
"passed","Tue Mar 31 22:03:53 UTC 2026","Tue Mar 31 22:04:34 UTC 2026","41610","tests","test_9_Programs_Management","","","","test_NAF_9_3_0_Search_Program","
Test that an admin user can search program by program's title.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Search for the created program by title
6. Verify search results display the correct program
"
"broken","Tue Mar 31 22:59:44 UTC 2026","Tue Mar 31 23:00:00 UTC 2026","16026","tests.android","test_sucessful_login","TestAuthentication","","","test_NAF_2_2_0_successful_login","
    Test Case: NAF-12
    As a user, I want to log in with my email and password
    Scenario: Successful Login
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter valid email and password
    5. Click ""Log in"" button
    6. Verify successful login
    
    Expected Result: User should be successfully logged in and redirected to the main app
    "
"failed","Tue Mar 31 22:03:26 UTC 2026","Tue Mar 31 22:03:53 UTC 2026","26477","tests","test_9_Programs_Management","","","","test_NAF_9_2_0_View_Programs_List","
Test that an admin user can view all programs list.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Verify programs list is displayed
5. Verify all programs are accessible
"
"passed","Tue Mar 31 22:05:57 UTC 2026","Tue Mar 31 22:06:38 UTC 2026","40938","tests","test_9_Programs_Management","","","","test_NAF_9_9_0_Popular_Nutrition_Tags","
Verify user can toggle Popular or Nutrition tag when creating a program

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section
4. Create a new program with random title
5. Verify Popular or Nutrition tag is not selected by default
6. Toggle Popular or Nutrition tag
7. Verify tag is selected
8. Toggle Popular or Nutrition tag
9. Verify tag is not selected
6. Verify program is successfully deleted
"
"passed","Tue Mar 31 21:53:25 UTC 2026","Tue Mar 31 21:54:03 UTC 2026","38068","tests","test_7_CMS_Authentication","","","","test_NAF_7_4_0_Edit_Profile","
Test that a user with admin role can access the profile page and edit profile information.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
6. Click the profile button
7. Verify that the user is on the profile page
8. Click the edit profile button
9. Enter the new profile information
10. Click the save button
11. Verify that the profile information is updated
"
"passed","Tue Mar 31 21:57:09 UTC 2026","Tue Mar 31 21:57:36 UTC 2026","26358","tests","test_8_CMS_Video_Management","","","","test_NAF_8_3_0_Search_Videos","
Test that an admin user can search videos by video title.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Search for the uploaded video by title
6. Verify search results display the correct video
"
"broken","Tue Mar 31 22:06:12 UTC 2026","Tue Mar 31 22:06:28 UTC 2026","15777","tests.android","test_2_Authentication","TestAuthentication","","","test_NAF_2_2_0_successful_login","
    Test Case: NAF-12
    As a user, I want to log in with my email and password
    Scenario: Successful Login
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter valid email and password
    5. Click ""Log in"" button
    6. Verify successful login
    
    Expected Result: User should be successfully logged in and redirected to the main app
    "
"broken","Tue Mar 31 23:01:14 UTC 2026","Tue Mar 31 23:01:14 UTC 2026","0","tests.android","test_14_Community","TestCommunityManagement","","","test_NAF_14_2_0_verify_post_fields_after_sending","
    Test Case: NAF-268
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify post fields after sending
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Click ""NEW POST"" button
    4. Verify post input field is present and editable
    5. Enter text content
    6. Click ""Post"" button
    7. Verify post fields are cleared after sending
    
    Expected Result: Post input field should be present, editable, and cleared after posting
    "
"broken","Tue Mar 31 23:02:27 UTC 2026","Tue Mar 31 23:02:27 UTC 2026","0","tests.android","test_14_Community","TestCommunityManagement","","","test_NAF_14_2_0_verify_viewing_comments_on_post","
    Test Case: NAF-269
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify viewing comments on a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Click on a comment button for any post
    4. Verify comment section opens
    5. Add a comment
    6. Verify comment is posted successfully
    
    Expected Result: User should be able to view and add comments to posts
    "
"broken","Wed Apr 01 00:15:44 UTC 2026","Wed Apr 01 00:15:44 UTC 2026","0","tests.ios","test_14_Community","TestCommunityManagement","","","test_NAF_14_4_0_verify_liking_post","
    Test Case: NAF-271
    As a user, I want to interact with post: ""Like"" post, leave comments
    Scenario: Verify liking a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Find the first like button
    4. Record current like count
    5. Click like button
    6. Verify like count changes as expected
    
    Expected Result: User should be able to like posts and see like count change
    "
"failed","Tue Mar 31 22:02:00 UTC 2026","Tue Mar 31 22:02:25 UTC 2026","25059","tests","test_9_Programs_Management","","","","test_NAF_9_1_0_Navigate_To_Programs_Section","
Test that an admin user can navigate to the program section of the app through the side menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section via side menu
4. Verify successful navigation to programs section
"
"broken","Wed Apr 01 00:12:48 UTC 2026","Wed Apr 01 00:12:48 UTC 2026","0","tests.ios","test_14_Community","TestCommunityManagement","","","test_NAF_14_1_0_verify_community_feed_navigation","
    Test Case: NAF-265
    As a user, I want to join a community based on my selected stage during onboarding.
    Scenario: Verify community feed navigation
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Verify community feed is displayed
    4. Verify community feed navigation is working
    "
"passed","Tue Mar 31 21:52:40 UTC 2026","Tue Mar 31 21:53:03 UTC 2026","23386","tests","test_7_CMS_Authentication","","","","test_NAF_7_2_0_Login_As_Admin","
Test that a user with admin role can login to the content management platform 
using the same credentials as for the mobile app.

Test Steps:
1. Launch the browser
2. Go to the login page
3. Enter the admin credentials
4. Click the login button
5. Verify that the user is logged in
"
"failed","Tue Mar 31 22:10:05 UTC 2026","Tue Mar 31 22:10:36 UTC 2026","31492","tests.android","test_2_Authentication","TestAuthentication","","","test_NAF_2_4_0_stay_logged_in_quick","
    Test Case: NAF-19
    As a user, I want to stay logged in for as long as possible, so that I don't have to log in frequently
    Scenario: Stay Logged In (Quick Test - 30 seconds)
    
    Steps:
    1. Open the app, user is already logged in
    2. Close the app, wait for 30 seconds
    3. Open the app, User is still logged in and is redirected to the Home page
    "
"broken","Tue Mar 31 22:17:57 UTC 2026","Tue Mar 31 22:18:56 UTC 2026","59830","tests","test_12_CMS_Communities","","","","test_NAF_12_4_0_delete_edit_own_and_others_post","
Test Case 238: Verify Admin/Coach Can Edit Own Post
Test Case 239: Verify Admin/Coach Can Delete Own Post
Test Case 242: Verify Admin/Coach Can Edit Own Reply
Test Case 243: Verify Admin/Coach Can Delete Own Reply

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Create a new post with image
5. Publish the post and verify creation
6. Edit the post with new content
7. Add a comment to the post
8. Delete the comment
9. Delete the post
"
"broken","Wed Apr 01 00:14:33 UTC 2026","Wed Apr 01 00:14:33 UTC 2026","0","tests.ios","test_14_Community","TestCommunityManagement","","","test_NAF_14_2_0_verify_edit_post_after_sending","
    Test Case: NAF-432
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify edit post after sending
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Find first post with three dots (more options)
    4. Click three dots and check for Edit option
    5. If Edit option exists, click Edit
    6. Update post text to ""Test edit post""
    7. Click Post button
    8. Verify updated post is visible in feed
    
    Expected Result: Post should be editable if edit functionality is implemented
    "
"passed","Tue Mar 31 22:08:22 UTC 2026","Tue Mar 31 22:08:44 UTC 2026","22426","tests","test_11_CMS_Notifications","","","","test_CMS_11_2_0_Mark_First_Notification_As_Read","
Test Case 201: Verify the ""Mark as read"" button functionality.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark the first notification as read
5. Verify notification status changes
"
"passed","Tue Mar 31 22:09:09 UTC 2026","Tue Mar 31 22:09:37 UTC 2026","28196","tests","test_11_CMS_Notifications","","","","test_CMS_11_4_0_Verify_Unread_Notifications_Exist","
Test Case 203: Verify that there is at least one unread notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Verify notification columns are visible
7. Verify all required columns are present
"
"passed","Tue Mar 31 22:07:56 UTC 2026","Tue Mar 31 22:08:22 UTC 2026","25276","tests","test_11_CMS_Notifications","","","","test_CMS_11_1_0_Verify_Notifications_Page","
Test Case 199: Verify the notifications page loads correctly.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Verify tabs are displayed correctly
5. Verify table headers are present
6. Verify notification rows are loaded
"
"passed","Tue Mar 31 22:10:06 UTC 2026","Tue Mar 31 22:10:29 UTC 2026","22724","tests","test_11_CMS_Notifications","","","","test_CMS_11_6_0_Mark_Multiple_Notifications_As_Read","
Test Case 205: Verify that marking multiple notifications as read works correctly.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark multiple notifications as read (up to 3)
5. Verify each notification is marked as read
"
"broken","Tue Mar 31 23:29:52 UTC 2026","Tue Mar 31 23:31:40 UTC 2026","107556","tests.ios","test_2_Authentication","TestAuthentication","","","test_NAF_2_5_0_logout_and_relogin","
    Test Case: NAF-20
    As a user, I want to log out and log back in
    Scenario: Logout and Relogin
    
    Steps:
    1. Open the app
    2. Go to ""My Profile"" button
    3. Click on ""Log out"" button
    4. Verify successful logout
    5. Click on ""Log in"" button
    6. Verify successful login
    "
"passed","Tue Mar 31 21:58:47 UTC 2026","Tue Mar 31 21:59:15 UTC 2026","28448","tests","test_8_CMS_Video_Management","","","","test_NAF_8_9_0_Publish_Video","
Test that an admin user can publish a video and verify it remains published after logout/login.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Publish the video
6. Logout and login again
7. Verify video is still published
"
"broken","Tue Mar 31 23:01:51 UTC 2026","Tue Mar 31 23:01:51 UTC 2026","0","tests.android","test_14_Community","TestCommunityManagement","","","test_NAF_14_2_0_verify_edit_post_after_sending","
    Test Case: NAF-432
    As a user I want to create text or text + image posts to share with the community
    Scenario: Verify edit post after sending
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Find first post with three dots (more options)
    4. Click three dots and check for Edit option
    5. If Edit option exists, click Edit
    6. Update post text to ""Test edit post""
    7. Click Post button
    8. Verify updated post is visible in feed
    
    Expected Result: Post should be editable if edit functionality is implemented
    "
"failed","Tue Mar 31 21:55:36 UTC 2026","Tue Mar 31 21:55:57 UTC 2026","21073","tests","test_8_CMS_Video_Management","","","","test_NAF_8_2_0_View_All_Videos_Uploaded","
Test that an admin user can view all videos uploaded to the CMS platform.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Verify all video columns are displayed correctly
5. Verify videos list is accessible
"
"skipped","Tue Mar 31 22:34:45 UTC 2026","Tue Mar 31 22:34:45 UTC 2026","0","tests.android","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_3_0_edit_profile_picture","
    Test Case: NAF-40
    As a registered user I can view and update profile image
    Scenario: Edit Profile Picture
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Click on ""Take a picture"" button (might not stable on simulator)
    5. Select a photo from the device
    
    Note: This test is skipped because camera functionality is not supported in the current simulator
    "
